ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Ancilary Feature To Date,Ancillary Feature Cultural Period,Ancillary Feature From Date,Ancillary Feature Type,Cadastral Reference,Component Type,Condition Description,Condition Image,Condition Type,Construction Technique,Date Condition Assessed,Description,Description Type,Designation or Protection From Date,Designation or Protection To Date,Disturbance Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Heritage Resource Type,Heritage Resource Type Cultural Period,Heritage Resource Type From Date,Heritage Resource Type To Date,Keyword,Management Recommendation,Material,Measurement Type,Measurement Unit,Measurement Value,Modification Date,Modification Description,Modification Type,Name,Name Type,Place Address,Place Description,Recommendation Type,Reference Image,Resource Type Classification,Setting Type,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,Style,Style Cultural Period,Style From Date,Style To Date,Threat Type,Type of Designation or Protection
004d6c03-5c64-4648-a53e-f4e40649d5d3,,,,,,,,,,,,,,,"QV 32 has a short shaft leading to a single chamber. The shaft cuts through shaley marl and the chamber is largely cut into marl. The shaft entrance has a masonry surround coated in cement plaster spanned by a metal grill. <br>The earliest modern record of QV 32 is from Brugsch, who numbered the tomb 8. E. Thomas had no access to the tomb but includes it in her work and suggests it may be of great interest given the tombs around it.  The Franco-Egyptian team cleared out the tomb in 1985, although they did not find any significant archaeological material.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,QV 32,Primary,,"QV 32 sits on the upper portion of the slope on the south side of the main wadi, between chamber tombs QV 31 and 33.",,/files/uploadedfiles/QV32_image_3.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59288930680295 25.72705096177909)),-1550~/-1295~,Built Date,,,,,,
004d6c03-5c64-4648-a53e-f4e40649d5d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV32_image_1.jpg,,,,,,,,,,,
004d6c03-5c64-4648-a53e-f4e40649d5d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV32_image_2.jpg,,,,,,,,,,,
004d6c03-5c64-4648-a53e-f4e40649d5d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV32_TMP_drawing_1.jpg,,,,,,,,,,,
004d6c03-5c64-4648-a53e-f4e40649d5d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,Alternative,,,,,,,,,,,,,,,
036d339b-55bb-49ea-978f-431cfac7b55c,,,,,,,,,,,,,,,"QV 79 has a large L-shaped chamber off which lies a smaller side chamber. The shaft entrance has a masonry surround coated with cement plaster spanned by a metal grill. <br>At the time of E. Thomas' visit, the entrance to the chamber was largely blocked, though her sketches indicate that the shaft was at least partially clear and visible.  The most recent clearing of the tomb was undertaken by the Franco-Egyptian team in 1987. They suggest that while initially carved in the 18th Dynasty, the side chamber was added during a later period of reuse. <br>Bat droppings and localized rock staining are present throughout the tomb and five bats were observed by the GCI assessment team in January 2008.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,Tomb of Anonymous,Alternative,,"QV 79 lies on the north side of the main wadi at its eastern end, near the electricity building and WC trailer.",,/files/uploadedfiles/QV79_image_2.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59381493889224 25.72796347533708)),-1550~/-1295~,Built Date,,,,,,
036d339b-55bb-49ea-978f-431cfac7b55c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV79_image_1.jpg,,,,,,,,,,,
036d339b-55bb-49ea-978f-431cfac7b55c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 79,Primary,,,,,,,,,,,,,,,
0641f461-88ed-4980-810b-441b8c26e22a,,,,,,,,,,,,,,,"The shaft entrance is  a large, eroded hole. The chamber is mostly filled with debris and inaccessible.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,Tomb of Anonymous,Alternative,,QV 27 is a single-chambered tomb on the south side of the valley's southwest branch and upslope from the retaining wall.  It lies adjacent to the footpath that leads to the mountain.,,/files/uploadedfiles/QV27_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59297080425751 25.72716937411792)),-1550~/-1295~,Built Date,,,,,,
0641f461-88ed-4980-810b-441b8c26e22a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV27_image_2.jpg,,,,,,,,,,,
0641f461-88ed-4980-810b-441b8c26e22a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 27,Primary,,,,,,,,,,,,,,,
