ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Ancilary Feature To Date,Ancillary Feature Cultural Period,Ancillary Feature From Date,Ancillary Feature Type,Ancillary Feature Use Type,Cadastral Reference,Condition Description,Condition Image,Condition Type,Date Condition Assessed,Date Evaluated,Description,Description Type,Designation or Protection From Date,Designation or Protection To Date,Disturbance Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Heritage Resource Group Type,Heritage Resource Group Type Cultural Period,Heritage Resource Group Type From Date,Heritage Resource Group Type To Date,Heritage Resource Group Use Type,Integrity Type,Keyword,Management Recommendation,Measurement Type,Measurement Unit,Measurement Value,Name,Name Type,Period of Significance From Date,Period of Significance To Date,Place Address,Place Description,Reasons,Recommendation Type,Reference Image,Resource Type Classification,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,Status,Style,Style Cultural Period,Style From Date,Style To Date,Style Use Type,Threat Type,Type of Designation or Protection
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,"The geographic limits of the Valley of the Queens as a cultural site are those defined by Christian Leblanc. He has defined QV as comprising the main wadi as well as several ancillary valleys, namely the Valley of Prince Ahmose, the Valley of the Rope, the Valley of the Three Pits, and the Valley of the Dolmen. The cultural boundary coincides with the lower portion of the topographic drainage basin that flows into the main wadi as well as the parking area at the QV entrance.<br>The primary concentration of historic features is in the main wadi, where ninety-one pharaonic-era tombs have been numbered. At the western end of the main wadi, during torrential rains the valley of the Grand Cascade feeds a waterfall and pools of water at the Grotto Cascade, which was held sacred during the pharaonic era, and has been suggested to be the reason for the creation of a royal necropolis at this location. Below this feature are the remnants of a pharaonic-era dam apparently built to prevent flooding of tombs. From the pharaonic era the main wadi also includes remains of structures inhabited by workmen who created the tombs. Behind a rocky spur on a slope between the Valley of the Rope and the Valley of the Three Pits are the ruins of Deir er-Rumi, a small monastery of the Coptic period built on the site of a Roman sanctuary and incorporating a pharaonic tomb (QV 95). <br>Immediately to the south, the main wadi is flanked by the small Valley of Prince Ahmose with, at its foot, two shaft tombs (QV 88, where Prince Ahmose was buried, and QV 98) dating back to the beginning of the New Kingdom and, on its heights, traces of several Coptic-era shelters of anchorites and hermits. <br>The Valley of the Rope, located north of the main wadi, was named for a rope that in the past hung from a cliff at the height of the valley and is thought to have been from the Coptic era. Within this valley's upper eastern branch are tombs QV 92, QV 93, and QV 97. <br>To the northeast of the main wadi is the Valley of the Three Pits. In its lower reaches are eleven tombs, mostly dating to the Thutmosid period, identified by the letters A through L. In the eastern branch of its upper reaches are three shaft tombs (QV 89, QV 90, QV 91) for which the valley was given its name. <br>To the east of the main wadi is the Valley of the Dolmen. In this valley was an ancient trail that workmen from Deir el-Medina traversed to construct tombs at Queens Valley. Along this path is a rock-cut sanctuary dedicated by tomb workmen to Ptah and Meretseger. In this valley's upper part is a natural rock formation named the Dolmen and a structure made of stacked and standing stones called the Menhir, both of which were inhabited during the New Kingdom. <br>Remnants of what have been interpreted as pharaonic era observation posts for personnel providing for the security of tombs have been found on the ridge between the Valley of the Dolmen and the Valley of the Three Pits, as well as on the saddle along the ridge between the Valley of the Rope and the Valley of the Three Pits. Rock engravings and some paintings (referred in the French archaeological literature as graffiti) from the pharaonic and Coptic eras have been found in all parts of the Valley of the Queens, including the main wadi and all subsidiary valleys, except the Valley of Prince Ahmose.",Primary,,,,,,,,,site extent polygon,Necropolis,NEW KINGDOM,,,,,,,,,,Valley of the Queens,Primary,,,,"The Valley of the Queens is located in the southern part of Thebes West, southwest of the village and the temple of Medinet Habu. The valley forms a large asymmetrical indentation in the Libyan tableland, its relief having been shaped during the Quaternary. It is comprised of a main wadi, as well as subsidiary valleys known as the Valley of the Dolmen, the Valley of the Three Pits, the Valley of the Rope, and the Valley of Prince Ahmose.",,,/files/uploadedfiles/QV_image_1.jpg,Archaeological Site,"GEOMETRYCOLLECTION (POLYGON ((32.590908 25.732176, 32.599135 25.732167, 32.599132 25.726459, 32.590908 25.726459, 32.590908 25.732176)))",,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,وادي الملكات‎ ,Arabic,,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wadi el-Meleka,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wadi el-Melekat,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biban el-Hagg Ahmed,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biban el-Sultanat,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biban el-Banat,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biban el-Harim,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biban el-Malekat,Arabic (Transliteration),,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vallée des Reines,French,,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valle delle Regine,Italian,,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ta Set Neferu,Ancient Egyptian,,,,,,,,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV_image_2.jpg,,,,,,,,,,,,
4627b950-ec04-4ef8-a24b-1fc06e734a45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV_image_3.jpg,,,,,,,,,,,,
5ebab8a9-cc18-4b38-865d-d2f4cd87119d,,,,,,,,,,,,,,,"This is the former site of the Southern Pacific Transportation Company's River Station (1876-1901), considered the 'Ellis Island of Los Angeles' where new arrivals from the east first disembarked. Corn leaking from train cars and sprouting along the tracks gave rise to the nickname 'The Cornfield.'",Primary,,,,,,Processing ID,,ARK-00001,,Archaeological District,,,,Current,,,,,,,Site of 19th Century River Station in Los Angeles State Historic Park,Primary,,,,,,,/files/uploadedfiles/Cornfield.jpg,Archaeological Site,GEOMETRYCOLLECTION (POINT (-118.234444 34.066111)),1876-01-01,Start Date,,,,,,,,
824e9430-7a78-4133-ab0c-0cdfdc640817,,,,,,,,,,,,,,,"This is the former site of Los Angeles' Chinatown. The first Chinatown, centered on Alameda and Macy Streets (now Cesar Chavez Avenue), was established in 1880. Reaching its heyday from 1890 to 1910, Chinatown grew to approximately fifteen streets and alleys containing some two hundred buildings. It boasted a Chinese Opera theater, three temples, a newspaper and a telephone exchange. But laws prohibiting most Chinese from citizenship and property ownership, as well as legislation curtailing immigration, inhibited future growth. From the early 1910s Chinatown began to decline. Symptoms of a corrupt Los Angeles discolored the public's view of Chinatown; gambling houses, opium dens and a fierce tong warfare severely reduced business in the area. As tenants and lessees rather than outright owners, the residents of Old Chinatown were threatened with impending redevelopment, and as a result the owners neglected upkeep of their buildings. Eventually, the entire area was sold and then resold, as entrepreneurs and developers fought the area. After thirty years of decay, a Supreme Court ruling approved condemnation of the area to allow for construction of a major rail terminal, Union Station. Residents were evicted to make room for Union Station, causing the formation of the New Chinatown.",Primary,,,,,,Processing ID,,ARK-00002,,Archaeological District,,,,Current,,,,,,,Site of Los Angeles' Former Chinatown,Primary,,,,,,,/files/uploadedfiles/CHINATOWN1.jpg,Archaeological Site,GEOMETRYCOLLECTION (POINT (-118.23525 34.05515)),1880-01-01,Start Date,,,,,,,,
