ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Ancilary Feature To Date,Ancillary Feature Cultural Period,Ancillary Feature From Date,Ancillary Feature Type,Ancillary Feature Use Type,Cadastral Reference,Component Type,Condition Description,Condition Image,Condition Type,Construction Technique,Date Condition Assessed,Date Evaluated,Description,Description Type,Designation or Protection From Date,Designation or Protection To Date,Disturbance Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Heritage Resource Type,Heritage Resource Type Cultural Period,Heritage Resource Type From Date,Heritage Resource Type To Date,Heritage Resource Use Type,Integrity Type,Keyword,Management Recommendation,Material,Measurement Type,Measurement Unit,Measurement Value,Modification Date,Modification Description,Modification Type,Name,Name Type,Period of Significance From Date,Period of Significance To Date,Place Address,Place Description,Reasons,Recommendation Type,Reference Image,Resource Type Classification,Setting Type,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,Status,Style,Style Cultural Period,Style From Date,Style To Date,Style Use Type,Threat Type,Type of Designation or Protection
00ec679e-f765-44d2-b772-5e9e76f8c353,Primary,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass Community Plan Area,Community Plan Area,,,,,,,,,,,,,,,,,,,,,SurveyLA ID,,00ec679e-f765-44d2-b772-5e9e76f8c353,,"""Residential-Single Family, House""",,,,Historic,,,,,,,,,Not fully visible from the pubic right-of-way.,No major alterations,3752 N KNOBHILL DR,Primary,,,3752 N KNOBHILL DR,,,,/files/uploadedfiles/1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,,,GEOMETRYCOLLECTION (POINT (-118.44782 34.13943)),1966-01-01,Built Date,3D,"""Modern, Mid-Century""",,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,,,,,,,,,,,,,,,,,,,,,,,,Property Identification Number,,162B149   391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,,,,,,,,,,,,,,,,,,,,,,,,Property Identification Number,,162B149   398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,,,,,,,,,,,,,,,,,,,,,,,,House ID,,11931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,Primary,Westwood Community Plan Area,Community Plan Area,,,,,,,,,,,,,2014-08-05,"The property meets the criteria for HCM designation because it reflects 'the broad cultural, political, economic or social history of the nation, state, or community,' as an early example of a Federal Housing Authority (FHA) housing project in California. It reflects the unprecedented involvement of the federal government in the development of low and moderate income multi-family housing after World War II. Many of these housing projects were influenced by the garden city movement, which championed the concept of a planned, self-contained community surrounded by a greenbelt. The property meets Criterion A for National Register designation for similar reasons.",Primary,,,,,,Processing ID,,HCM-351,,"""Residential-Multi Family, Garden Apartment""",,,,Historic,,,,,,,,,,,Strathmore Apartments,National Register of Historic Places,1937-01-01,,11005 W STRATHMORE DR,,"The property meets the criteria for HCM designation because it reflects +Ã³GÃ©Â¼+Ã´the broad cultural, political, economic or social history of the nation, state, or community,+Ã³GÃ©Â¼-Â¥ as an early example of a Federal Housing Authority (FHA) housing project in California. It reflects the unprecedented involvement of the federal government in the development of low and moderate income multi-family housing after World War II. Many of these housing projects were influenced by the garden city movement, which championed the concept of a planned, self-contained community surrounded by a greenbelt. The property meets Criterion A for National Register designation for similar reasons.",,,,,"GEOMETRYCOLLECTION (MULTIPOLYGON (((-118.4512072574737 34.0653213757483, -118.4511956999211 34.0654558457123, -118.4511894855591 34.0655280285237, -118.4507909974551 34.06545664241273, -118.4507927913683 34.06545254136093, -118.4507969952777 34.06544224856135, -118.4508010006352 34.065431874066, -118.4508048077374 34.06542147283156, -118.4508083834183 34.06541101750302, -118.4508117276778 34.06540050808029, -118.4508148735341 34.06538994444018, -118.4508177879694 34.06537932670606, -118.4508204711318 34.06536868235621, -118.4508229558911 34.06535798378901, -118.4508251765079 34.06534728620769, -118.4508271987218 34.06533653440909, -118.4508289896633 34.06532575599486, -118.4508305493322 34.06531495096492, -118.4508319107465 34.06530411919608, -118.4508327252242 34.0652959549222, -118.4508330080189 34.06529328841319, -118.4508338740191 34.06528243101467, -118.450834331966 34.06527550462216, -118.4508430856289 34.06512304648188, -118.4512230428978 34.06513822485411, -118.4512113293485 34.06527437161453, -118.4512072574737 34.0653213757483))))",1937-01-01,Built Date,1S,International,,,,,,National Register of Historic Places
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,Property Identification Number,,135B149   455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,House ID,,953430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Historic Cultural Monument Number,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,National Register of Historic Places Reference Number,,13000754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strathmore Apartments,Primary,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA Historic-Cultural Monument No. 351,Los Angeles Historic Cultural Monument,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1S,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937-01-01,,,,,,,,,,,,,,,,,,,
05f52146-d1da-4325-92e9-eb1355d03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The property meets the criteria for HCM designation because it embodies the 'distinguishing characteristics of an architectural-type specimen, inherently valuable for a study of a period style or method of construction,' as an excellent example of International architecture incorporating garden city landscape elements. It is also associated with the 'notable work of a master builder, designer, or architect,' as a work by master architect Richard Neutra. The property meets Criterion C for National Register designation for similar reasons.",,,,,,,,,,,,,,,
096586a8-4619-4121-862b-af44b5bbc815,Primary,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass Community Plan Area,Community Plan Area,,,,,,,,,,,,,,,,,,,,,SurveyLA ID,,096586a8-4619-4121-862b-af44b5bbc815,,"""Residential-Single Family, House""",,,,Historic,,,,,,,,,Not fully visible from the pubic right-of-way.,Roofline altered,3658 N KNOBHILL DR,Primary,,,3658 N KNOBHILL DR,,,,/files/uploadedfiles/1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,,,GEOMETRYCOLLECTION (POINT (-118.44892 34.13722)),1966-01-01,Built Date,3D,"""Modern, Mid-Century""",,,,,,
096586a8-4619-4121-862b-af44b5bbc815,,,,,,,,,,,,,,,,,,,,,,,,Property Identification Number,,162B149   509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096586a8-4619-4121-862b-af44b5bbc815,,,,,,,,,,,,,,,,,,,,,,,,Property Identification Number,,162B149   524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096586a8-4619-4121-862b-af44b5bbc815,,,,,,,,,,,,,,,,,,,,,,,,Property Identification Number,,162B149   524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096586a8-4619-4121-862b-af44b5bbc815,,,,,,,,,,,,,,,,,,,,,,,,House ID,,12033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
