ResourceID,Administrative Subdivision Name,Administrative Subdivision Type,Copyright Description,Copyright Type,Date of Publication,Description,Description Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Creation From Date,Information Resource Creation To Date,Information Resource Creator,Information Resource Type,Keyword,Language_Type,Place Description,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
000438e7-0f6d-40e5-b829-f12df09c25a4,,,,,,,,,SurveyLA ID,f739aafb-ed7d-453a-baca-ccd1a512bff2.jpg,,/files/uploadedfiles/f739aafb-ed7d-453a-baca-ccd1a512bff2.jpg,JPEG,,,,Still Image,,,,,,Weber House - PHOTO,Primary
004d6942-6b1e-4604-9391-fb4da515022a,,,,,,"Fractured, friable rock above entrance to tomb at bottom of shaft",Primary,,Original File Name,Egy.QV.t48.26.08Jan.JBell.d.jpg,,/files/uploadedfiles/QV48_image_2.jpg,JPEG,,,,Still Image,,,,,,QV48_image_2,Primary
01255f1f-a962-4614-a792-a51c2bf9b24d,,,,,,View of tomb shaft.,Primary,,Original File Name,EGY.QV.t20.02.07Feb.DMyers.d.JPG,,/files/uploadedfiles/QV20_image_2.jpg,JPEG,,,,Still Image,,,,,,QV20_image_2,Primary
0141d314-8b60-43a3-820e-60a23f568f84,,,,,,"Central chamber facing rear end, with fractured shaley marl.",Primary,,Original File Name,EGY_QV_t81_D_08Jan_05_DMyers_d.JPG,,/files/uploadedfiles/QV81_image_2.jpg,JPEG,,,,Still Image,,,,,,QV81_image_2,Primary
01467ee6-b865-4c13-a37e-15029dbb263e,,,,,,,,,SurveyLA ID,12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,,/files/uploadedfiles/12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,JPEG,,,,Still Image,,,,,,Stahl House - PHOTO,Primary
0170fada-65a1-4427-a256-b6129df87830,,,,,,Shaft entrance with masonry surround and unfinished QV 24 in the foreground.,Primary,,Original File Name,EGY.QV.t25.1.05Jan.DMyers.jpg,,/files/uploadedfiles/QV25_image_1.jpg,JPEG,,,,Still Image,,,,,,QV25_image_1,Primary
02787ee6-49f1-4a73-8dfe-0888731769fb,,,,,,,,,Original File Name,QV 68 sheet2.CEDAE labels.jpg,,/files/uploadedfiles/QV68_TMP_drawing_2.jpg,JPEG,,,,Still Image,,,,,,QV68_TMP_drawing_2,Primary
02d25342-84fe-4eef-8e4a-63a683978986,,,,,,Extensive painted plaster survives in pillared chamber (C). This image shows the south wall.  Note also uninstalled lighting on floor of tomb.,Primary,,Original File Name,EGY.QV.2006DEC.t40.08.LWong.d.jpg,,/files/uploadedfiles/QV40_image_2.jpg,JPEG,,,,Still Image,,,,,,QV40_image_2,Primary
04653c45-4caf-4587-a017-8aaf64e908e3,,,,,,,,,Original File Name,QV 38.CEDAE labels.jpg,,/files/uploadedfiles/QV38_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV38_TMP_drawing_1,Primary
049effbc-84ed-424d-bd09-a3b1d8d570ec,,,,,,,,,SurveyLA ID,1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,,/files/uploadedfiles/1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,JPEG,,,,Still Image,,,,,,Richard and Dion Neutra VDL Research House and Landscape - PHOTO,Primary
0542cbaa-bd23-4acb-83ed-8e08f15b2257,,,,,,,,,SurveyLA ID,73850c04-78aa-4c73-85d3-5599a7a5d28e.JPG,,/files/uploadedfiles/73850c04-78aa-4c73-85d3-5599a7a5d28e.JPG,JPEG,,2011-06-08,Architectural Resources Group,Still Image,,,,,,2226 S HOBART BLVD - PHOTO,Primary
059a4f33-f5f4-4b0a-b5d9-1426852e5fdb,,,,,,View of interior of QV 19.,Primary,,Original File Name,EGY_QV_t19_B_08Jan_06_DMyers_d.JPG,,/files/uploadedfiles/QV19_image_2.jpg,JPEG,,,,Still Image,,,,,,QV19_image_2,Primary
07019313-ab60-4dee-a65d-c4d4d3b7ae3b,,,,,,Shaft entrance with masonry surround,Primary,,Original File Name,EGY.QV.t08.1.05Jan.DMyers.jpg,,/files/uploadedfiles/QV08_image_1.jpg,JPEG,,,,Still Image,,,,,,QV08_image_1,Primary
