ResourceID,Actor Type,Actor Type From Date,Actor Type To Date,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Appellation,Appellation Type,Cadastral Reference,Cultural Period,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Keyword,Place Address,Place Description,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type
029add2c-aa36-4618-a338-c9e007f058f1,Queen (Person),,,,,,Duatentipet,Primary,,,,,,,,,,,,,,,,
03d71608-0fdc-4a64-8a45-1205ee2f11a2,Architect/Designer,,,,,,Paul R. Williams,Primary,,,"Paul Revere Williams, FAIA (February 18, 1894 GÇô January 23, 1980) was a Los Angeles-based, American architect. He practiced largely in Southern California and designed the homes of numerous stars including Frank Sinatra, Lucille Ball/Desi Arnaz, Lon Chaney, and Charles Correll. He also designed many public and private buildings. Orphaned at the age of four, Williams was the only African American student in his elementary school. He studied at the Los Angeles School of Art and Design and at the Los Angeles branch of the New York Beaux-Arts Institute of Design Atelier, subsequently working as a landscape architect. He went on to attend the University of Southern California, School of Engineering designing several residential buildings while still a student there. Williams became a certified architect in 1921, and the first certified African American architect west of the Mississippi. He married Della Mae Givens on June 27, 1917, at the First AME Church in Los Angeles. They had three children: Paul Revere Williams, Jr. (born and died June 30, 1925, buried in Evergreen Cemetery, Los Angeles); Marilyn Frances Williams (born December 25, 1926); and Norma Lucille Williams (born September 18, 1928). Williams won an architectural competition at age 25 and three years later opened his own office. Known as an outstanding draftsman, he perfected the skill of rendering drawings 'upside down.' This skill was developed so that his clients (who may have been uncomfortable sitting next to a black architect) could see the drawings rendered right side up across the table from him. Struggling to gain attention, he served on the first Los Angeles City Planning Commission in 1920. From 1921 through 1924 Williams worked for Los Angeles architect John C. Austin, eventually becoming chief draftsman, before establishing his own office. Williams became the first African-American member of the American Institute of Architects (AIA) in 1923. In 1939, he won the AIA Award of Merit for his design of the MCA Building in Los Angeles (now headquarters of the Paradigm Talent Agency). A. Quincy Jones (1913GÇô79) was an architect, who is claimed to have hired Williams and later collaborated with him on projects in Palm Springs, including the Palm Springs Tennis Club (1947) and the Town & Country (1948) and Romanoff's on the Rocks (1948) restaurants. During World War II, Williams worked for the Navy Department as an architect. Following the war he published his first book, The Small Home of Tomorrow (1945), with a successor volume New Homes for Today the following year. In 1957 became the first African-American to be voted an AIA Fellow. In 1951, he won the Omega Psi Phi Fraternity, Inc. Man of the Year award and in 1953 Williams received the Spingarn Medal from the NAACP for his outstanding contributions as an architect and member of the African-American community. Williams also received honorary doctorates from Howard University (doctor of architecture), Lincoln University of Missouri (doctor of science), and the Tuskegee Institute (doctor of fine arts). In 2004, USC honored him by listing him among its distinguished alumni, in the television commercial for the school shown during its football games. Williams was posthumously honored in 2008 with the Donald J. Trump Award for his significant impact on the evolution, development and perpetuation of real estate throughout Greater Los Angeles. The award was accepted by his granddaughter, Karen Hudson. Donald Trump presented the award to Hudson via video presentation. Williams famously remarked upon the bitter irony of the fact that most of the homes he designed, and whose construction he oversaw, were on parcels whose deeds included segregation covenants barring blacks from purchasing them. Williams designed more than 2,000 private homes, most of which were in the Hollywood Hills and the Mid-Wilshire portion of Los Angeles (including his own home in Lafayete Square, part of historic West Adams, Los Angeles, California,). He also designed at least one home in the San Rafael district. His most famous homes were for Hollywood celebrities, and he was well regarded for his mastery of various architectural styles. Modern interpretations of Tudor-revival, French Chateau, Regency, and Mediterranean architecture were all within his vernacular. One notable home, which he designed for Jay Paley in Holmby Hills, was used as the 'Colby mansion' in exterior scenes for 'The Colbys' television series. Williams' client list included Frank Sinatra (the notorious pushbutton house), Bill 'Bojangles' Robinson, Lon Chaney, Sr., Lucille Ball, Julie London, Tyrone Power (two houses), Barbara Stanwyck, Bert Lahr, Charles Cottrell, Will Hays, Zasu Pitts, and Danny Thomas. In contrast to these splendid mansions, Williams co-designed with Hilyard Robinson the first federally funded public housing projects of the post-war period (Langton Terrace, Washington, D.C.) and later the Pueblo del Rio project in southeast Los Angeles. Williams retired his practice in 1973. He died at age 85. He is interred in Inglewood Park Cemetery, Inglewood. (Wikipedia) \nPaul R. Williams Paul R. Williams: A Collection of House Plans Hennessey & Ingalls, 2006 ISBN 0940512440, 9780940512443; Hudson, Karen E. Paul R. Williams, Architect: A Legacy of Style. New York: Rizzoli, 1993;  Hudson, Karen E., The Will and the Way: Paul R. Williams, Architect, Rizzoli International Publications, Inc., NY 1994; Williams office records & correspondence were destroyed in a bank fire during the 1992 LA Riots.",Primary,,,,Processing ID,ARCH-00308,,,,,,1894-02-18,Birth Date
0438922f-98e0-466c-97bf-a31e67829553,Architect/Designer,,,,,,R.M. Schindler,Primary,,,"Rudolph (born Rudolf) Michael Schindler was born on September 10, 1887, to a middle class family in Vienna, Austria. His father was a wood and metal craftsman and an importer; his mother was a dressmaker. He attended the Imperial and Royal High School, from 1899 to 1906, and enrolled in the Wagnersschule of Vienna Polytechnic University, being graduated in 1911 with a degree in architecture. Schindler was most influenced by professor Carl K+¦nig, despite the presence of many other famous professors such as Otto Wagner and particularly, Adolf Loos. Most notably, in 1911, he was introduced to the work of Frank Lloyd Wright through the influential Wasmuth Portfolio. Schindler also met his lifelong friend and rival Richard Neutra at the university in 1912, before completing his thesis project in 1913. Their careers would parallel each other: both would go to Los Angeles through Chicago, be recognized as important early modernists creating new styles suited to the Californian climate, and sometimes, both would work for the same clients. At one point, they and their wives shared a communal office and living structure that Schindler designed as his home and studio. In Vienna, Schindler acquired experience in the firm of Hans Mayr and Theodore Mayer, working there from September 1911 to February 1914. Schindler then moved to Chicago to work in the firm of Ottenheimer, Stern, and Reichert (OSR), accepting a cut in pay to be in that progressive American city, which was the home of Frank Lloyd Wright. He found New York, which he visited along the way, to be crowded, unattractive, and commercial. Chicago was more appealing to him, however, with less congestion and providing access to the architectural work of Henry Hobson Richardson, Louis Sullivan, and Frank Lloyd Wright. Schindler continued to seek contact with Wright, writing letters despite his limited English. He finally met him for the first time on December 30, 1914. Wright had little work at this stage, was still plagued by the destruction of Taliesin and the murder of his mistress earlier that year, and did not offer Schindler a job. Schindler continued work at OSR, keeping himself occupied with trips and study, notably familiarizing himself with the early tilt up slab work of Irving Gill. Wright was able to hire Schindler after obtaining the commission for the Imperial Hotel in Tokyo, a major project that would keep the architect in Japan for several years. Schindler's role was to continue Wright's American operations in his absence, working out of Wright's Oak Park studio. In 1919, Schindler met and married Pauline Gibling (1893GÇô1977) and in 1920 Wright summoned him to Los Angeles to work on the Barnsdall House. Schindler was engaged to design several private commissions while in Los Angeles, notably, he completed what many think is his finest building, the Kings Road House, also known as the Schindler house or the Schindler-Chase house, as an office and home for two professional couples by late spring 1922. He and his wife were one of the couples living in the communal structure. He also started to take on several projects of his own. During this time, fractures started to appear in the Schindler-Wright relationship. Schindler complained, with some validity, of being underpaid and exploited. As well as his architectural affairs, he was running Lloyd Wright's businesses, such as the rental of the Oak Park houses. Of the houses Wright built in this period, the Hollyhock House was undoubtedly the most significant, for which Schindler did most of the drawings and oversaw the construction of, while Frank Lloyd Wright still was in Japan. The client, Aline Barnsdall, subsequently chose Schindler as her architect to design a number of other small projects for her on Olive Hill and a spectacular beach-side 'translucent house' in 1927, which remains one of the great uncompleted projects of the twentieth century. As Schindler was applying for a Los Angeles license to practice architecture in 1929, he mentioned his extensive work on the architectural and structural plans of the Imperial Hotel. Wright, however, refused to validate these claims. Eventually, disputes over whose work was whose, escalated until Schindler released a flier for a series of talks with Richard Neutra, describing himself as having been, ''in charge of the architectural office of Frank Lloyd Wright for two years during his absence''. Wright refuted this claim. The two split in 1931 and never reconciled until 1953, less than a year before Schindler's death. Schindler's early buildings usually are characterized by concrete construction. The Kings Road House, The Rodriguez House (seen in the film 'Pineapple Express (film)', Pueblo Ribera Court, Lovell Beach House, Wolfe House, and How House are the projects most frequently identified among these. The Kings Road house was designed as a studio and home for Schindler, his wife, and their friends Clyde and Marian DaCamara Chace. The floor plan worked itself around several L-shapes. Construction features included tilt up concrete panels cast on site, which contrasted with the more 'open' walls of redwood and glass. It has largely become the symbol of Schindler's architecture. In a search to create a more inexpensive architecture, Schindler abandoned concrete and turned to the plaster-skin design. This type of construction is characteristic of his work throughout the 1930s and 1940s, but his interest in form and space never changed. He developed his own platform frame system, the Schindler Frame in 1945. His later work uses this system extensively as a basis for experimentation. Schindler's early work, such as the Kings Road House and Lovell Beach House, largely went unnoticed in the wider architectural world. As early and radical as they were for modernism, they may have been too different for recognition and Los Angeles was not a significant location on the architectural map. Schindler was not included in the highly influential International Style exhibit of 1932, while Richard Neutra was and, to add insult to injury, Neutra, incorrectly, was credited as the Austrian who worked on the Imperial Hotel with Wright. His first major exposure came in Esther McCoy's 'Five California Architects' of 1960. His work is undergoing somewhat of a contemporary revaluation for its inventiveness, character, and formal qualities, which are making his designs familiar to a new generation of architects. The Mackey Apartments and the Schindler Residence are maintained by the Friends of the Schindler House and the MAK Center (Austrian Museum of Applied Arts / Contemporary Art, Vienna). The MAK Center offers a variety of exhibitions and events and is open to the public Wednesday through Sunday. The center also sponsors six month residencies for emerging architects and artists who are housed in the Mackey Apartments. Penthouse apartments can be rented there for overnight accommodations or events.\nDarling, Michael, and Elizabeth A.T. Smith, eds. (2001). The Architecture of R.M. Schindler . Harry N. Abrams. ISBN 0810942232.  \nSheine, Judith (2001). RM Schindler. Phaidon Press. ISBN 0714839140.  \nLeclerc, David (October 1996). ''Schindler: La maison Wolfe''. L'Architecture d'Aujourd'hui 307.  \nMarch, Lionel; Judith Sheine, eds. (1995). RM Schindler: Composition and Construction. Academy Press. ISBN 185490423X.  \nGebhard, David (1971). Schindler. Viking Press. ISBN 0670620637.  \nreprinted in 1980 by Peregrine Smith \nreprinted in 1997 by William Stout Publishers \nMcCoy, Esther (1960). Five California Architects. Reinhold Publishing. Archival documents on Rudolph M. Schindler housed at the Architecture and Design Collection of the University Museum, University of California, Santa Barbara (UCSB)",Primary,,,,Processing ID,ARCH-00323,,,,,,1887-09-10,Birth Date
052a66ec-9a67-4666-ab32-39c5275490dd,,,,,,,Eddie Anderson,Primary,,,,,,,,Processing ID,OWNR-00083,,,,,,,
0a1552c7-0aca-4c3b-b7f9-f365c13bdb28,Prince,,,,,,Prince Pareherunemef,Primary,,,,,,,,,,,,,,,,
0af4aeb5-2609-43e6-8df1-770fe9e924b1,,,,,,,Charles Eames,Primary,,,"Charles Eames briefly studied architecture at Washington University in St. Louis on an architecture scholarship. After two years of study, he left the university. Many sources claim that he was dismissed for his advocacy of Frank Lloyd Wright and his interest in modern architects. The university reportedly dropped him because of his 'too modern' views.[1] Other sources, less frequently cited, note that while a student, Charles Eames also was employed as an architect at the firm of Trueblood and Graf. The demands on his time from this employment and from his classes led to sleep-deprivation and diminished performance at the university. In 1930, Charles began his own architectural practice in St. Louis with partner Charles Gray. They were later joined by a third partner, Walter Pauley. Charles Eames was greatly influenced by the Finnish architect Eliel Saarinen (whose son Eero, also an architect, would become a partner and friend). At the elder Saarinen's invitation, Charles moved in 1938 to Michigan, to further study architecture at the Cranbrook Academy of Art, where he would become a teacher and head of the industrial design department. In order to apply for the Architecture and Urban Planning Program, Eames defined an area of focusGÇöthe St. Louis waterfront. Together with Eero Saarinen he designed prize-winning furniture for New York's Museum of Modern Art 'Organic Design in Home Furnishings' competition. Their work displayed the new technique of wood moulding (originally developed by Alvar Aalto), that Eames would further develop in many moulded plywood products, including chairs and other furniture, splints and stretchers for the US Navy during World War II. In 1941, Charles and his first wife Catherine divorced, and he married his Cranbrook colleague Ray Kaiser, who was born in Sacramento, California. He then moved with her to Los Angeles, California, where they would work and live until their deaths. In the late 1940s, as part of the Arts & Architecture magazine's 'Case Study' program, Charles and Ray designed and built the groundbreaking Eames House, Case Study House #8, as their home. Located upon a cliff overlooking the Pacific Ocean and hand-constructed within a matter of days entirely of pre-fabricated steel parts intended for industrial construction, it remains a milestone of modern architecture. Charles Eames died of a heart attack on August 21, 1978 while on a consulting trip in his native Saint Louis, and was buried in the Calvary Cemetery there. He now has a star on the St. Louis Walk of Fame.",Primary,,,,Processing ID,ARCH-00476,,,,,,,
10a7ca7f-b9aa-4a2f-9e8a-b9a968f43a3e,,,,,,,Heka...,Primary,,,,,,,,,,,,,,,,
112b28a4-482e-46bc-85a4-f0f9834e7420,,,,,,,Buck Stahl,Primary,,,,,,,,Processing ID,OWNR-00362,,,,,,,
16ae48ae-988f-4c3a-bb1f-80e8902c9fad,Pharaoh,,,,,,Rameses V,Primary,,,Ramesses V was the fourth pharaoh of the Twentieth dynasty of Egypt and was the son of Ramesses IV and Queen Duatentopet.,Primary,,,,,,,,,,,,
174fa21c-6b0f-4a29-82a3-e15872a05a85,Princess,,,,,,Merytra (II),Primary,,,,,,,,,,,,,,,,
