resourcexid,notes,datestarted,dateended,relationshiptype,resourceinstanceidfrom,resourceinstanceidto,modified,created,inverserelationshiptype,tileid,nodeid,resourceinstancefrom_graphid,resourceinstanceto_graphid
c9823ac7-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,62acfd7a-7964-4fa4-a31a-d1d5d589a7d6,598e72a2-6a27-4da5-a7ee-1642b0fc2b26,2020-11-12 23:34:21.885418+00,2020-11-12 22:38:29.930075+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823ac9-2537-11eb-9d07-0610f586dfc5,"",,,b20b077a-4415-470f-afbb-9d91a4c766b3,657ccd5d-4bf4-488b-a4e4-421baa94f1ae,eb8e796c-927c-4b91-ba77-a5c6cc210c35,2020-11-12 23:34:21.903416+00,2020-11-12 22:38:29.944751+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823aca-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,67c118e7-c792-43e7-b485-81acc16446bc,73ed36e5-033c-4da2-a3a5-2c5298705189,2020-11-12 23:34:21.911634+00,2020-11-12 22:38:29.95961+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823acb-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,67c118e7-c792-43e7-b485-81acc16446bc,19d9f447-ba34-40dd-9333-6586f87dead1,2020-11-12 23:34:21.920241+00,2020-11-12 22:38:29.966814+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823acc-2537-11eb-9d07-0610f586dfc5,"",,,badf8662-7507-43e4-b3ac-049fa38c5470,67c118e7-c792-43e7-b485-81acc16446bc,87c9460b-96b8-42fa-8da8-3e5b251fd769,2020-11-12 23:34:21.929217+00,2020-11-12 22:38:29.973771+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823ace-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,67c118e7-c792-43e7-b485-81acc16446bc,1d79d43f-c4eb-4149-8c4a-ef712139aa5f,2020-11-12 23:34:21.946354+00,2020-11-12 22:38:29.988297+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823acf-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,67c118e7-c792-43e7-b485-81acc16446bc,eb8e796c-927c-4b91-ba77-a5c6cc210c35,2020-11-12 23:34:21.954844+00,2020-11-12 22:38:29.995257+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823ad0-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,67c118e7-c792-43e7-b485-81acc16446bc,598e72a2-6a27-4da5-a7ee-1642b0fc2b26,2020-11-12 23:34:21.963298+00,2020-11-12 22:38:30.002253+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823ad2-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,68511c86-b20f-46b8-a910-983fcc50fa3f,fab91ca7-5868-4076-b0c2-6c842c82567c,2020-11-12 23:34:21.980394+00,2020-11-12 22:38:30.01634+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823ad3-2537-11eb-9d07-0610f586dfc5,"",,,d39a496f-5334-4d47-af40-70c6eb3c2c89,68511c86-b20f-46b8-a910-983fcc50fa3f,b8c0f7eb-dd45-4cc2-be00-43c3990cf14d,2020-11-12 23:34:21.989049+00,2020-11-12 22:38:30.023382+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823ad4-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,68511c86-b20f-46b8-a910-983fcc50fa3f,595f0d72-a229-4028-8f5a-085dae3a25d3,2020-11-12 23:34:21.997529+00,2020-11-12 22:38:30.031236+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823ad5-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,68511c86-b20f-46b8-a910-983fcc50fa3f,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.006013+00,2020-11-12 22:38:30.038113+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823ad7-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,68511c86-b20f-46b8-a910-983fcc50fa3f,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.023192+00,2020-11-12 22:38:30.051768+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823ad8-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,68511c86-b20f-46b8-a910-983fcc50fa3f,57a05479-194b-44cb-a49c-545909252af6,2020-11-12 23:34:22.031755+00,2020-11-12 22:38:30.05851+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823ad9-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,69c7e50b-798f-4967-9780-7084fb68bb15,604c3c01-5689-49b8-9a2d-ae2f001d6d93,2020-11-12 23:34:22.04033+00,2020-11-12 22:38:30.065757+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
